CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value
2023-24,E12000001,North East,E06000002,Middlesbrough,5yr,DTaP_IPV_Hib_HepB_5y,1813.0
2023-24,E12000001,North East,E06000002,Middlesbrough,5yr,Hib_MenC_5y,1665.0
2023-24,E12000001,North East,E06000002,Middlesbrough,5yr,MMR1_5y,1810.0
2023-24,E12000001,North East,E06000002,Middlesbrough,5yr,MMR2_5y,1596.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,12m,12m_Eligible_Pop,2919.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,12m,DTaP_IPV_Hib_HepB_12m,2702.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,12m,MenB_12m,2670.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,12m,PCV_12m,2793.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Rota_12m,2637.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,24m,24m_Eligible_Pop,3020.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,24m,DTaP_IPV_Hib_HepB_24m,2831.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,24m,Hib_MenC_24m,2746.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,24m,MMR_24m,2758.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,24m,MenB_booster_24m,2703.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,24m,PCV_24m,2736.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,5y_Eligible_Pop,3301.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,DTaP_IPV_5y,2749.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,DTaP_IPV_Hib_HepB_5y,3009.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,Hib_MenC_5y,2862.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,MMR1_5y,3062.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,MMR2_5y,2813.0
2023-24,E12000001,North East,E08000022,North Tyneside,12m,12m_Eligible_Pop,1976.0
2023-24,E12000001,North East,E08000022,North Tyneside,12m,DTaP_IPV_Hib_HepB_12m,1911.0
2023-24,E12000001,North East,E08000022,North Tyneside,12m,MenB_12m,1911.0
