CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value
2023-24,E12000002,North West,E08000001,Bolton,5yr,Hib_MenC_5y,3737.0
2023-24,E12000002,North West,E08000001,Bolton,5yr,MMR1_5y,3788.0
2023-24,E12000002,North West,E08000001,Bolton,5yr,MMR2_5y,3478.0
2023-24,E12000002,North West,E08000002,Bury,12m,12m_Eligible_Pop,2098.0
2023-24,E12000002,North West,E08000002,Bury,12m,DTaP_IPV_Hib_HepB_12m,1853.0
2023-24,E12000002,North West,E08000002,Bury,12m,MenB_12m,1850.0
2023-24,E12000002,North West,E08000002,Bury,12m,PCV_12m,1918.0
2023-24,E12000002,North West,E08000002,Bury,12m,Rota_12m,1732.0
2023-24,E12000002,North West,E08000002,Bury,24m,24m_Eligible_Pop,2289.0
2023-24,E12000002,North West,E08000002,Bury,24m,DTaP_IPV_Hib_HepB_24m,2101.0
2023-24,E12000002,North West,E08000002,Bury,24m,Hib_MenC_24m,1935.0
2023-24,E12000002,North West,E08000002,Bury,24m,MMR_24m,1962.0
2023-24,E12000002,North West,E08000002,Bury,24m,MenB_booster_24m,1886.0
2023-24,E12000002,North West,E08000002,Bury,24m,PCV_24m,1925.0
2023-24,E12000002,North West,E08000002,Bury,5yr,5y_Eligible_Pop,2480.0
2023-24,E12000002,North West,E08000002,Bury,5yr,DTaP_IPV_5y,1941.0
2023-24,E12000002,North West,E08000002,Bury,5yr,DTaP_IPV_Hib_HepB_5y,2305.0
2023-24,E12000002,North West,E08000002,Bury,5yr,Hib_MenC_5y,2264.0
2023-24,E12000002,North West,E08000002,Bury,5yr,MMR1_5y,2312.0
2023-24,E12000002,North West,E08000002,Bury,5yr,MMR2_5y,2021.0
2023-24,E12000002,North West,E06000049,Cheshire East,12m,12m_Eligible_Pop,3815.0
2023-24,E12000002,North West,E06000049,Cheshire East,12m,DTaP_IPV_Hib_HepB_12m,3590.0
2023-24,E12000002,North West,E06000049,Cheshire East,12m,MenB_12m,3573.0
2023-24,E12000002,North West,E06000049,Cheshire East,12m,PCV_12m,3644.0
2023-24,E12000002,North West,E06000049,Cheshire East,12m,Rota_12m,3500.0
2023-24,E12000002,North West,E06000049,Cheshire East,24m,24m_Eligible_Pop,4160.0
2023-24,E12000002,North West,E06000049,Cheshire East,24m,DTaP_IPV_Hib_HepB_24m,3944.0
2023-24,E12000002,North West,E06000049,Cheshire East,24m,Hib_MenC_24m,3831.0
2023-24,E12000002,North West,E06000049,Cheshire East,24m,MMR_24m,3866.0
2023-24,E12000002,North West,E06000049,Cheshire East,24m,MenB_booster_24m,3793.0
2023-24,E12000002,North West,E06000049,Cheshire East,24m,PCV_24m,3839.0
2023-24,E12000002,North West,E06000049,Cheshire East,5yr,5y_Eligible_Pop,4349.0
2023-24,E12000002,North West,E06000049,Cheshire East,5yr,DTaP_IPV_5y,3894.0
2023-24,E12000002,North West,E06000049,Cheshire East,5yr,DTaP_IPV_Hib_HepB_5y,4159.0
2023-24,E12000002,North West,E06000049,Cheshire East,5yr,Hib_MenC_5y,4102.0
2023-24,E12000002,North West,E06000049,Cheshire East,5yr,MMR1_5y,4140.0
2023-24,E12000002,North West,E06000049,Cheshire East,5yr,MMR2_5y,3939.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,12m,12m_Eligible_Pop,3314.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,12m,DTaP_IPV_Hib_HepB_12m,3122.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,12m,MenB_12m,3101.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,12m,PCV_12m,3174.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,12m,Rota_12m,3033.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,24m,24m_Eligible_Pop,3548.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,24m,DTaP_IPV_Hib_HepB_24m,3377.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,24m,Hib_MenC_24m,3300.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,24m,MMR_24m,3317.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,24m,MenB_booster_24m,3261.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,24m,PCV_24m,3294.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,5yr,5y_Eligible_Pop,3828.0
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,5yr,DTaP_IPV_5y,3423.0
