Year,OrgCode,OrgName,OrgType,VacCode,Value
2014-15,E09000016,Havering,LA,DtaP_IPV_Hib_5y,93.4862385321101
2014-15,E09000017,Hillingdon,LA,DtaP_IPV_Hib_5y,92.95807273569608
2014-15,E09000018,Hounslow,LA,DtaP_IPV_Hib_5y,91.05725927514476
2014-15,E09000019,Islington,LA,DtaP_IPV_Hib_5y,97.53886010362694
2014-15,E09000020,Kensington and Chelsea,LA,DtaP_IPV_Hib_5y,85.74153552694325
2014-15,E09000021,Kingston upon Thames,LA,DtaP_IPV_Hib_5y,96.65551839464884
2014-15,E09000022,Lambeth,LA,DtaP_IPV_Hib_5y,96.43029425952726
2014-15,E09000023,Lewisham,LA,DtaP_IPV_Hib_5y,93.16126185748952
2014-15,E09000024,Merton,LA,DtaP_IPV_Hib_5y,90.66500156103653
2014-15,E09000025,Newham,LA,DtaP_IPV_Hib_5y,92.05623901581723
2014-15,E09000026,Redbridge,LA,DtaP_IPV_Hib_5y,91.93349753694581
2014-15,E09000027,Richmond upon Thames,LA,DtaP_IPV_Hib_5y,94.22328644118527
2014-15,E09000028,Southwark,LA,DtaP_IPV_Hib_5y,93.95291201982651
2014-15,E09000029,Sutton,LA,DtaP_IPV_Hib_5y,90.67114093959732
2014-15,E09000030,Tower Hamlets,LA,DtaP_IPV_Hib_5y,87.0306324110672
2014-15,E09000031,Waltham Forest,LA,DtaP_IPV_Hib_5y,89.11130664320281
2014-15,E09000032,Wandsworth,LA,DtaP_IPV_Hib_5y,92.34557767289144
2014-15,E09000033,Westminster,LA,DtaP_IPV_Hib_5y,75.87957925281103
2014-15,E10000002,Buckinghamshire,LA,DtaP_IPV_Hib_5y,96.10827225609509
2014-15,E10000003,Cambridgeshire,LA,DtaP_IPV_Hib_5y,94.09514092590231
2014-15,E10000006,Cumbria,LA,DtaP_IPV_Hib_5y,96.79668362540042
2014-15,E10000007,Derbyshire,LA,DtaP_IPV_Hib_5y,98.76237284562843
2014-15,E10000008,Devon,LA,DtaP_IPV_Hib_5y,96.70194437607678
2014-15,E10000009,Dorset,LA,DtaP_IPV_Hib_5y,98.1952211489578
2014-15,E10000011,East Sussex,LA,DtaP_IPV_Hib_5y,95.06346967559944
2014-15,E10000012,Essex,LA,DtaP_IPV_Hib_5y,97.218311841883
2014-15,E10000013,Gloucestershire,LA,DtaP_IPV_Hib_5y,95.41554959785523
2014-15,E10000014,Hampshire,LA,DtaP_IPV_Hib_5y,95.87615864808626
2014-15,E10000015,Hertfordshire,LA,DtaP_IPV_Hib_5y,93.92776239617417
2014-15,E10000016,Kent,LA,DtaP_IPV_Hib_5y,94.94204425711274
2014-15,E10000017,Lancashire,LA,DtaP_IPV_Hib_5y,96.26416568972255
2014-15,E10000018,Leicestershire and Rutland,LA,DtaP_IPV_Hib_5y,98.7890625
2014-15,E10000019,Lincolnshire,LA,DtaP_IPV_Hib_5y,94.4357272178636
2014-15,E10000020,Norfolk,LA,DtaP_IPV_Hib_5y,96.59532786228297
2014-15,E10000021,Northamptonshire,LA,DtaP_IPV_Hib_5y,97.12954939341422
2014-15,E10000023,North Yorkshire,LA,DtaP_IPV_Hib_5y,95.67576455113449
2014-15,E10000024,Nottinghamshire,LA,DtaP_IPV_Hib_5y,97.47441032487761
2014-15,E10000025,Oxfordshire,LA,DtaP_IPV_Hib_5y,97.32184703657329
2014-15,E10000027,Somerset,LA,DtaP_IPV_Hib_5y,97.39413680781759
2014-15,E10000028,Staffordshire,LA,DtaP_IPV_Hib_5y,97.95428159658825
2014-15,E10000029,Suffolk,LA,DtaP_IPV_Hib_5y,97.00494034110491
2014-15,E10000030,Surrey,LA,DtaP_IPV_Hib_5y,88.42387765864534
2014-15,E10000031,Warwickshire,LA,DtaP_IPV_Hib_5y,98.17712811693895
2014-15,E10000032,West Sussex,LA,DtaP_IPV_Hib_5y,95.86809694080254
2014-15,E10000034,Worcestershire,LA,DtaP_IPV_Hib_5y,96.2655601659751
2014-15,E12000001,North East,Region,DtaP_IPV_Hib_5y,97.91393335082655
2014-15,E12000002,North West,Region,DtaP_IPV_Hib_5y,96.6088531002247
2014-15,E12000003,Yorkshire & the Humber,Region,DtaP_IPV_Hib_5y,96.95815642302375
2014-15,E12000004,East Midlands,Region,DtaP_IPV_Hib_5y,97.11554275140786
2014-15,E12000005,West Midlands,Region,DtaP_IPV_Hib_5y,96.77611095386357
2014-15,E12000006,East of England,Region,DtaP_IPV_Hib_5y,95.9487246225924
2014-15,E12000007,London,Region,DtaP_IPV_Hib_5y,92.17176426706453
2014-15,E12000008,South East,Region,DtaP_IPV_Hib_5y,94.55330524554486
2014-15,E12000009,South West,Region,DtaP_IPV_Hib_5y,96.96727940026689
2014-15,K02000001,United Kingdom,UK,DTaP_IPV_Hib_5y,95.87230645673961
2014-15,E92000001,England,Country,Hib_MenC_24m,92.126801486
2014-15,N92000002,Northern Ireland,Country,Hib_MenC_24m,94.96995072488535
2014-15,S92000003,Scotland,Country,Hib_MenC_24m,95.44077134986226
2014-15,W92000004,Wales,Country,Hib_MenC_24m,95.02840499466505
2014-15,E06000001,Hartlepool,LA,Hib_MenC_24m,91.39981701738334
2014-15,E06000002,Middlesbrough,LA,Hib_MenC_24m,91.87768752986145
2014-15,E06000003,Redcar and Cleveland,LA,Hib_MenC_24m,94.73684210526315
2014-15,E06000004,Stockton-on-Tees,LA,Hib_MenC_24m,94.48559670781893
2014-15,E06000005,Darlington,LA,Hib_MenC_24m,95.625
2014-15,E06000006,Halton,LA,Hib_MenC_24m,95.43491671807526
2014-15,E06000007,Warrington,LA,Hib_MenC_24m,94.74516001580403
2014-15,E06000008,Blackburn with Darwen,LA,Hib_MenC_24m,93.8425925925926
2014-15,E06000009,Blackpool,LA,Hib_MenC_24m,91.37625516834022
2014-15,E06000010,"Kingston upon Hull, City of",LA,Hib_MenC_24m,94.46969696969697
2014-15,E06000011,East Riding of Yorkshire,LA,Hib_MenC_24m,95.86693548387096
2014-15,E06000012,North East Lincolnshire,LA,Hib_MenC_24m,97.83266129032258
2014-15,E06000013,North Lincolnshire,LA,Hib_MenC_24m,94.19459321589427
2014-15,E06000014,York,LA,Hib_MenC_24m,91.37466307277629
2014-15,E06000015,Derby,LA,Hib_MenC_24m,93.10606060606061
2014-15,E06000016,Leicester,LA,Hib_MenC_24m,94.44121634708503
2014-15,E06000018,Nottingham,LA,Hib_MenC_24m,90.75458871515976
2014-15,E06000019,"Herefordshire, County of",LA,Hib_MenC_24m,91.50360453141091
2014-15,E06000020,Telford and Wrekin,LA,Hib_MenC_24m,94.55842997323818
2014-15,E06000021,Stoke-on-Trent,LA,Hib_MenC_24m,97.03884813909264
2014-15,E06000022,Bath and North East Somerset,LA,Hib_MenC_24m,94.22400803616273
2014-15,E06000023,"Bristol, City of",LA,Hib_MenC_24m,91.4416548239381
2014-15,E06000024,North Somerset,LA,Hib_MenC_24m,94.5945945945946
2014-15,E06000025,South Gloucestershire,LA,Hib_MenC_24m,96.02307225258045
2014-15,E06000026,Plymouth,LA,Hib_MenC_24m,95.2222558209858
2014-15,E06000027,Torbay,LA,Hib_MenC_24m,94.15584415584416
2014-15,E06000028,Bournemouth,LA,Hib_MenC_24m,93.4782608695652
2014-15,E06000029,Poole,LA,Hib_MenC_24m,93.4782608695652
2014-15,E06000030,Swindon,LA,Hib_MenC_24m,94.47252053063802
2014-15,E06000031,Peterborough,LA,Hib_MenC_24m,92.58684863523573
2014-15,E06000032,Luton,LA,Hib_MenC_24m,90.9065550906555
2014-15,E06000033,Southend-on-Sea,LA,Hib_MenC_24m,94.39293598233995
2014-15,E06000034,Thurrock,LA,Hib_MenC_24m,94.08450704225352
2014-15,E06000035,Medway,LA,Hib_MenC_24m,89.28298035213065
2014-15,E06000036,Bracknell Forest,LA,Hib_MenC_24m,91.49616368286445
2014-15,E06000037,West Berkshire,LA,Hib_MenC_24m,93.14099074578117
2014-15,E06000038,Reading,LA,Hib_MenC_24m,90.56255763910237
2014-15,E06000039,Slough,LA,Hib_MenC_24m,88.18181818181819
